TF	Target	Experimentos_pos	Experimentos_neg
AT2G22430	AT3G54510	1/1	0/1
AT5G10030	AT3G54510	1/2	0/2
AT2G33550	AT3G54510	1/1	0/1
AT1G25550	AT3G54510	1/1	0/1
AT5G57660	AT3G54510	1/1	0/1
AT5G47230	AT3G54510	0/1	1/1
AT4G36540	AT3G54510	1/1	0/1
AT4G27950	AT3G56240	0/4	1/4
AT5G62020	AT3G56240	1/1	0/1
AT2G22200	AT3G56240	1/1	0/1
AT5G10970	AT3G56240	0/1	1/1
AT3G16870	AT3G56240	1/1	0/1
AT5G04760	AT3G56240	0/1	1/1
AT5G15830	AT3G56240	1/1	0/1
AT5G67420	AT3G56240	0/2	1/2
AT4G01120	AT3G56240	0/1	1/1
AT1G13260	AT3G56240	0/1	1/1
AT3G49940	AT3G56240	1/2	0/2
AT5G04340	AT3G56240	0/1	1/1
AT4G16141	AT3G56240	0/1	1/1
AT3G17609	AT3G56240	1/1	0/1
AT2G39250	AT3G56240	0/2	1/2
AT4G39780	AT3G56240	1/2	0/2
AT3G28910	AT3G56240	1/1	0/1
AT2G33550	AT3G56240	1/1	0/1
AT1G25550	AT3G56240	0/1	1/1
AT5G57660	AT3G56240	0/1	1/1
AT1G09540	AT3G56240	1/1	0/1
AT5G05410	AT3G56240	0/1	1/1
AT2G42280	AT3G56240	1/1	0/1
AT4G31800	AT3G56240	1/1	0/1
AT2G46270	AT3G56240	0/1	1/1
AT5G65210	AT3G57520	2/3	0/3
AT5G62430	AT3G57520	1/2	0/2
AT5G62020	AT3G57520	1/1	0/1
AT2G22200	AT3G57520	1/1	0/1
AT5G10970	AT3G57520	1/1	0/1
AT3G16870	AT3G57520	1/1	0/1
AT5G04760	AT3G57520	1/1	0/1
AT5G15830	AT3G57520	1/1	0/1
AT4G01120	AT3G57520	1/1	0/1
AT1G66140	AT3G57520	1/1	0/1
AT1G68670	AT3G57520	1/1	0/1
AT4G16141	AT3G57520	1/1	0/1
AT3G17609	AT3G57520	1/1	0/1
AT2G39250	AT3G57520	1/2	0/2
AT5G49450	AT3G57520	1/1	0/1
AT2G22430	AT3G57520	1/1	0/1
AT1G49560	AT3G57520	0/1	1/1
AT5G07680	AT3G57520	1/1	0/1
AT1G25550	AT3G57520	1/1	0/1
AT1G72830	AT3G57520	1/1	0/1
AT5G57660	AT3G57520	1/1	0/1
AT5G05410	AT3G57520	1/1	0/1
AT4G34000	AT3G57520	1/1	0/1
AT1G49720	AT3G57520	1/1	0/1
AT5G65210	AT3G58660	1/3	0/3
AT4G27950	AT3G58660	2/4	1/4
AT5G62430	AT3G58660	2/2	0/2
AT5G62020	AT3G58660	1/1	0/1
AT2G22200	AT3G58660	1/1	0/1
AT5G10970	AT3G58660	1/1	0/1
AT3G16870	AT3G58660	1/1	0/1
AT5G04760	AT3G58660	1/1	0/1
AT5G15830	AT3G58660	1/1	0/1
AT4G01120	AT3G58660	1/1	0/1
AT1G13260	AT3G58660	1/1	0/1
AT3G49940	AT3G58660	1/2	0/2
AT1G66140	AT3G58660	1/1	0/1
AT1G68670	AT3G58660	1/1	0/1
AT5G04340	AT3G58660	0/1	1/1
AT4G16141	AT3G58660	1/1	0/1
AT4G39780	AT3G58660	1/2	0/2
AT4G37790	AT3G58660	0/1	1/1
AT5G07680	AT3G58660	1/1	0/1
AT2G33550	AT3G58660	1/1	0/1
AT1G09540	AT3G58660	0/1	1/1
AT1G35560	AT3G58660	0/1	1/1
AT5G65210	AT3G61890	0/3	1/3
AT5G62430	AT3G61890	0/2	1/2
AT5G62020	AT3G61890	0/1	1/1
AT5G10970	AT3G61890	0/1	1/1
AT3G16870	AT3G61890	0/1	1/1
AT5G04760	AT3G61890	1/1	0/1
AT4G01120	AT3G61890	1/1	0/1
AT1G13260	AT3G61890	0/1	1/1
AT5G29000	AT3G61890	0/1	1/1
AT1G66140	AT3G61890	0/1	1/1
AT2G39250	AT3G61890	0/2	1/2
AT2G22430	AT3G61890	1/1	0/1
AT4G37790	AT3G61890	0/1	1/1
AT1G49560	AT3G61890	0/1	1/1
AT3G28910	AT3G61890	0/1	1/1
AT5G67300	AT3G61890	1/1	0/1
AT2G33550	AT3G61890	0/1	1/1
AT5G57660	AT3G61890	1/1	0/1
AT4G23750	AT3G61890	0/1	1/1
AT1G09540	AT3G61890	0/1	1/1
AT1G22640	AT3G61890	1/1	0/1
AT4G37180	AT3G61890	0/1	1/1
AT2G46680	AT3G61890	1/1	0/1
AT5G05410	AT3G61890	1/1	0/1
AT4G34000	AT3G61890	1/1	0/1
AT5G65210	AT4G00730	2/3	0/3
AT5G62430	AT4G00730	1/2	0/2
AT5G62020	AT4G00730	1/1	0/1
AT2G22200	AT4G00730	1/1	0/1
AT5G10970	AT4G00730	1/1	0/1
AT3G16870	AT4G00730	1/1	0/1
AT5G15830	AT4G00730	1/1	0/1
AT5G67420	AT4G00730	1/2	0/2
AT3G49940	AT4G00730	1/2	0/2
AT1G66140	AT4G00730	1/1	0/1
AT1G68670	AT4G00730	1/1	0/1
AT4G16141	AT4G00730	1/1	0/1
AT3G17609	AT4G00730	1/1	0/1
AT2G39250	AT4G00730	2/2	0/2
AT4G39780	AT4G00730	1/2	0/2
AT1G51140	AT4G00730	0/1	1/1
AT5G49450	AT4G00730	1/1	0/1
AT2G22430	AT4G00730	1/1	0/1
AT5G10030	AT4G00730	1/2	0/2
AT2G33550	AT4G00730	1/1	0/1
AT1G25550	AT4G00730	1/1	0/1
AT5G57660	AT4G00730	1/1	0/1
AT4G36540	AT4G00730	1/1	0/1
AT4G27950	AT4G02940	0/4	1/4
AT5G62430	AT4G02940	1/2	0/2
AT5G62020	AT4G02940	0/1	1/1
AT2G22200	AT4G02940	0/1	1/1
AT5G10970	AT4G02940	0/1	1/1
AT3G16870	AT4G02940	0/1	1/1
AT5G67420	AT4G02940	2/2	0/2
AT1G13260	AT4G02940	0/1	1/1
AT3G49940	AT4G02940	1/2	1/2
AT5G29000	AT4G02940	1/1	0/1
AT3G17609	AT4G02940	0/1	1/1
AT2G39250	AT4G02940	1/2	0/2
AT4G39780	AT4G02940	0/2	1/2
AT4G37790	AT4G02940	1/1	0/1
AT5G10030	AT4G02940	1/2	0/2
AT3G28910	AT4G02940	0/1	1/1
AT5G07680	AT4G02940	1/1	0/1
AT2G33550	AT4G02940	0/1	1/1
AT1G72830	AT4G02940	1/1	0/1
AT1G35560	AT4G02940	1/1	0/1
AT1G69490	AT4G02940	1/1	0/1
AT4G34000	AT4G02940	1/1	0/1
AT2G46270	AT4G02940	0/1	1/1
AT5G65210	AT4G09460	0/3	1/3
AT5G62020	AT4G09460	0/1	1/1
AT2G22200	AT4G09460	0/1	1/1
AT5G10970	AT4G09460	0/1	1/1
AT3G16870	AT4G09460	0/1	1/1
AT5G04760	AT4G09460	1/1	0/1
AT5G15830	AT4G09460	0/1	1/1
AT1G13260	AT4G09460	0/1	1/1
AT5G58900	AT4G09460	1/1	0/1
AT5G29000	AT4G09460	0/1	1/1
AT1G66140	AT4G09460	0/1	1/1
AT4G16141	AT4G09460	0/1	1/1
AT1G51140	AT4G09460	1/1	0/1
AT2G22430	AT4G09460	0/1	1/1
AT4G37790	AT4G09460	1/1	0/1
AT1G49560	AT4G09460	0/1	1/1
AT3G28910	AT4G09460	1/1	0/1
AT2G33550	AT4G09460	0/1	1/1
AT1G25550	AT4G09460	0/1	1/1
AT4G23750	AT4G09460	1/1	0/1
AT1G09540	AT4G09460	1/1	0/1
AT1G22640	AT4G09460	0/1	1/1
AT1G35560	AT4G09460	1/1	0/1
AT4G36540	AT4G09460	1/1	0/1
AT4G31800	AT4G09460	1/1	0/1
AT5G65210	AT4G10350	1/3	0/3
AT5G62430	AT4G10350	1/2	0/2
AT5G62020	AT4G10350	1/1	0/1
AT2G22200	AT4G10350	1/1	0/1
AT5G10970	AT4G10350	1/1	0/1
AT3G16870	AT4G10350	1/1	0/1
AT5G15830	AT4G10350	1/1	0/1
AT5G67420	AT4G10350	1/2	0/2
AT4G01120	AT4G10350	1/1	0/1
AT1G66140	AT4G10350	1/1	0/1
AT1G68670	AT4G10350	1/1	0/1
AT4G16141	AT4G10350	1/1	0/1
AT3G17609	AT4G10350	1/1	0/1
AT4G39780	AT4G10350	1/2	0/2
AT1G51140	AT4G10350	0/1	1/1
AT2G22430	AT4G10350	1/1	0/1
AT4G37790	AT4G10350	0/1	1/1
AT5G10030	AT4G10350	1/2	1/2
AT1G25550	AT4G10350	1/1	0/1
AT5G57660	AT4G10350	1/1	0/1
AT2G46680	AT4G10350	1/1	0/1
AT2G40750	AT4G10350	1/1	0/1
AT4G31800	AT4G10350	0/1	1/1
AT2G46270	AT4G10350	0/1	1/1
AT5G65210	AT4G11480	0/3	1/3
AT5G62430	AT4G11480	1/2	0/2
AT5G62020	AT4G11480	0/1	1/1
AT5G04760	AT4G11480	0/1	1/1
AT5G15830	AT4G11480	0/1	1/1
AT5G67420	AT4G11480	0/2	2/2
AT4G01120	AT4G11480	0/1	1/1
AT5G58900	AT4G11480	0/1	1/1
AT3G49940	AT4G11480	0/2	1/2
AT1G66140	AT4G11480	1/1	0/1
AT3G17609	AT4G11480	0/1	1/1
AT2G22430	AT4G11480	0/1	1/1
AT4G37790	AT4G11480	1/1	0/1
AT1G49560	AT4G11480	0/1	1/1
AT3G28910	AT4G11480	1/1	0/1
AT5G67300	AT4G11480	0/1	1/1
AT1G72830	AT4G11480	0/1	1/1
AT1G09540	AT4G11480	1/1	0/1
AT1G22640	AT4G11480	0/1	1/1
AT4G37180	AT4G11480	1/1	0/1
AT2G46680	AT4G11480	0/1	1/1
AT1G35560	AT4G11480	1/1	0/1
AT1G69490	AT4G11480	1/1	0/1
AT2G42280	AT4G11480	1/1	0/1
AT5G65210	AT4G13510	1/3	0/3
AT5G62020	AT4G13510	0/1	1/1
AT5G10970	AT4G13510	0/1	1/1
AT3G16870	AT4G13510	0/1	1/1
AT5G04760	AT4G13510	0/1	1/1
AT5G67420	AT4G13510	0/2	1/2
AT4G01120	AT4G13510	0/1	1/1
AT1G13260	AT4G13510	0/1	1/1
AT5G58900	AT4G13510	1/1	0/1
AT5G29000	AT4G13510	1/1	0/1
AT1G66140	AT4G13510	0/1	1/1
AT1G68670	AT4G13510	0/1	1/1
AT3G17609	AT4G13510	0/1	1/1
AT4G37790	AT4G13510	1/1	0/1
AT3G28910	AT4G13510	1/1	0/1
AT5G67300	AT4G13510	0/1	1/1
AT5G57660	AT4G13510	0/1	1/1
AT1G22640	AT4G13510	0/1	1/1
AT2G40750	AT4G13510	1/1	0/1
AT1G69490	AT4G13510	1/1	0/1
AT5G47230	AT4G13510	1/1	0/1
AT5G05410	AT4G13510	0/1	1/1
AT4G36540	AT4G13510	0/1	1/1
AT4G31800	AT4G13510	1/1	0/1
AT2G46270	AT4G13510	0/1	1/1
AT5G65210	AT4G15550	1/3	0/3
AT4G27950	AT4G15550	0/4	2/4
AT5G62430	AT4G15550	1/2	0/2
AT2G22200	AT4G15550	0/1	1/1
AT5G10970	AT4G15550	1/1	0/1
AT5G04760	AT4G15550	1/1	0/1
AT5G15830	AT4G15550	1/1	0/1
AT5G67420	AT4G15550	1/2	0/2
AT5G58900	AT4G15550	1/1	0/1
AT5G29000	AT4G15550	0/1	1/1
AT1G66140	AT4G15550	1/1	0/1
AT1G68670	AT4G15550	1/1	0/1
AT4G16141	AT4G15550	1/1	0/1
AT2G39250	AT4G15550	2/2	0/2
AT1G51140	AT4G15550	1/1	0/1
AT2G22430	AT4G15550	1/1	0/1
AT1G49560	AT4G15550	1/1	0/1
AT5G10030	AT4G15550	1/2	0/2
AT1G25550	AT4G15550	1/1	0/1
AT5G57660	AT4G15550	1/1	0/1
AT4G23750	AT4G15550	1/1	0/1
AT1G35560	AT4G15550	1/1	0/1
AT5G65210	AT4G19450	0/3	1/3
AT4G27950	AT4G19450	0/4	1/4
AT5G62430	AT4G19450	0/2	2/2
AT5G62020	AT4G19450	0/1	1/1
AT2G22200	AT4G19450	0/1	1/1
AT3G16870	AT4G19450	0/1	1/1
AT5G67420	AT4G19450	1/2	0/2
AT5G58900	AT4G19450	1/1	0/1
AT3G49940	AT4G19450	1/2	1/2
AT5G29000	AT4G19450	0/1	1/1
AT1G68670	AT4G19450	0/1	1/1
AT3G17609	AT4G19450	0/1	1/1
AT4G39780	AT4G19450	0/2	1/2
AT1G51140	AT4G19450	1/1	0/1
AT5G49450	AT4G19450	0/1	1/1
AT5G10030	AT4G19450	1/2	0/2
AT3G28910	AT4G19450	0/1	1/1
AT5G07680	AT4G19450	0/1	1/1
AT2G33550	AT4G19450	0/1	1/1
AT4G23750	AT4G19450	0/1	1/1
AT4G37180	AT4G19450	0/1	1/1
AT1G35560	AT4G19450	0/1	1/1
AT5G47230	AT4G19450	1/1	0/1
AT5G62020	AT4G19460	0/1	1/1
AT2G22200	AT4G19460	0/1	1/1
AT5G10970	AT4G19460	0/1	1/1
AT3G16870	AT4G19460	0/1	1/1
AT5G04760	AT4G19460	0/1	1/1
AT5G67420	AT4G19460	0/2	1/2
AT4G01120	AT4G19460	0/1	1/1
AT1G13260	AT4G19460	0/1	1/1
AT3G49940	AT4G19460	0/2	1/2
AT1G68670	AT4G19460	0/1	1/1
AT5G04340	AT4G19460	0/1	1/1
AT3G17609	AT4G19460	0/1	1/1
AT1G51140	AT4G19460	0/1	1/1
AT5G49450	AT4G19460	0/1	1/1
AT4G37790	AT4G19460	0/1	1/1
AT5G10030	AT4G19460	0/2	1/2
AT3G28910	AT4G19460	0/1	1/1
AT1G72830	AT4G19460	0/1	1/1
AT5G57660	AT4G19460	1/1	0/1
AT4G23750	AT4G19460	0/1	1/1
AT1G09540	AT4G19460	0/1	1/1
AT1G22640	AT4G19460	0/1	1/1
AT5G05410	AT4G19460	0/1	1/1
AT2G42280	AT4G19460	0/1	1/1
AT3G18990	AT4G19460	0/1	1/1
AT5G65210	AT4G19880	1/3	2/3
AT5G62430	AT4G19880	1/2	0/2
AT5G62020	AT4G19880	0/1	1/1
AT2G22200	AT4G19880	0/1	1/1
AT3G16870	AT4G19880	0/1	1/1
AT5G04760	AT4G19880	1/1	0/1
AT4G01120	AT4G19880	1/1	0/1
AT5G58900	AT4G19880	1/1	0/1
AT3G49940	AT4G19880	0/2	1/2
AT5G29000	AT4G19880	1/1	0/1
AT1G66140	AT4G19880	1/1	0/1
AT2G39250	AT4G19880	1/2	0/2
AT1G51140	AT4G19880	1/1	0/1
AT4G37790	AT4G19880	1/1	0/1
AT1G49560	AT4G19880	1/1	0/1
AT1G25550	AT4G19880	1/1	0/1
AT1G09540	AT4G19880	1/1	0/1
AT1G22640	AT4G19880	1/1	0/1
AT4G37180	AT4G19880	1/1	0/1
AT1G35560	AT4G19880	1/1	0/1
AT5G47230	AT4G19880	1/1	0/1
AT2G42280	AT4G19880	1/1	0/1
AT4G31800	AT4G19880	1/1	0/1
AT5G65210	AT4G20140	1/3	0/3
AT4G27950	AT4G20140	0/4	1/4
AT5G10970	AT4G20140	0/1	1/1
AT3G16870	AT4G20140	1/1	0/1
AT5G04760	AT4G20140	0/1	1/1
AT5G67420	AT4G20140	0/2	2/2
AT4G01120	AT4G20140	0/1	1/1
AT1G13260	AT4G20140	0/1	1/1
AT5G58900	AT4G20140	0/1	1/1
AT3G49940	AT4G20140	0/2	1/2
AT5G04340	AT4G20140	1/1	0/1
AT4G39780	AT4G20140	0/2	1/2
AT1G51140	AT4G20140	0/1	1/1
AT5G67300	AT4G20140	0/1	1/1
AT1G72830	AT4G20140	0/1	1/1
AT4G23750	AT4G20140	0/1	1/1
AT1G35560	AT4G20140	0/1	1/1
AT1G69490	AT4G20140	1/1	0/1
AT5G05410	AT4G20140	0/1	1/1
AT4G24020	AT4G20140	0/1	1/1
AT4G34000	AT4G20140	0/1	1/1
AT2G42280	AT4G20140	0/1	1/1
AT2G46270	AT4G20140	0/1	1/1
AT5G43840	AT4G20140	1/1	0/1
AT4G27950	AT4G23700	1/4	0/4
AT5G62430	AT4G23700	2/2	0/2
AT5G62020	AT4G23700	0/1	1/1
AT5G10970	AT4G23700	1/1	0/1
AT5G04760	AT4G23700	1/1	0/1
AT5G67420	AT4G23700	0/2	1/2
AT1G13260	AT4G23700	1/1	0/1
AT5G58900	AT4G23700	1/1	0/1
AT3G49940	AT4G23700	0/2	1/2
AT5G29000	AT4G23700	1/1	0/1
AT1G66140	AT4G23700	1/1	0/1
AT1G68670	AT4G23700	1/1	0/1
AT4G16141	AT4G23700	1/1	0/1
AT2G39250	AT4G23700	0/2	1/2
AT4G39780	AT4G23700	0/2	1/2
AT2G22430	AT4G23700	1/1	0/1
AT1G49560	AT4G23700	0/1	1/1
AT3G28910	AT4G23700	1/1	0/1
AT1G25550	AT4G23700	1/1	0/1
AT1G72830	AT4G23700	0/1	1/1
AT4G23750	AT4G23700	0/1	1/1
AT2G46680	AT4G23700	1/1	0/1
AT2G38470	AT4G23700	1/1	0/1
AT2G22200	AT4G24290	0/1	1/1
AT5G10970	AT4G24290	0/1	1/1
AT5G04760	AT4G24290	0/1	1/1
AT5G67420	AT4G24290	0/2	1/2
AT4G01120	AT4G24290	0/1	1/1
AT3G49940	AT4G24290	0/2	1/2
AT5G29000	AT4G24290	1/1	0/1
AT5G04340	AT4G24290	1/1	0/1
AT3G17609	AT4G24290	0/1	1/1
AT4G39780	AT4G24290	0/2	1/2
AT1G51140	AT4G24290	0/1	1/1
AT2G22430	AT4G24290	0/1	1/1
AT4G37790	AT4G24290	1/1	0/1
AT5G10030	AT4G24290	0/2	1/2
AT5G67300	AT4G24290	0/1	1/1
AT2G33550	AT4G24290	0/1	1/1
AT1G72830	AT4G24290	0/1	1/1
AT4G37180	AT4G24290	1/1	0/1
AT2G46680	AT4G24290	0/1	1/1
AT2G40750	AT4G24290	1/1	0/1
AT1G35560	AT4G24290	1/1	0/1
AT2G38470	AT4G24290	1/1	0/1
AT5G47230	AT4G24290	1/1	0/1
AT5G05410	AT4G24290	0/1	1/1
AT2G46270	AT4G24290	0/1	1/1
AT5G65210	AT4G25700	2/3	0/3
AT4G27950	AT4G25700	0/4	1/4
AT5G62430	AT4G25700	0/2	1/2
AT5G62020	AT4G25700	0/1	1/1
AT3G16870	AT4G25700	0/1	1/1
AT5G04760	AT4G25700	1/1	0/1
AT4G01120	AT4G25700	1/1	0/1
AT5G58900	AT4G25700	1/1	0/1
AT1G68670	AT4G25700	0/1	1/1
AT3G17609	AT4G25700	0/1	1/1
AT4G39780	AT4G25700	2/2	0/2
AT5G10030	AT4G25700	2/2	0/2
AT5G07680	AT4G25700	1/1	0/1
AT1G72830	AT4G25700	1/1	0/1
AT5G57660	AT4G25700	1/1	0/1
AT4G23750	AT4G25700	0/1	1/1
AT2G46680	AT4G25700	1/1	0/1
AT1G35560	AT4G25700	0/1	1/1
AT1G69490	AT4G25700	1/1	0/1
AT4G34000	AT4G25700	1/1	0/1
AT2G42280	AT4G25700	0/1	1/1
AT1G49720	AT4G25700	1/1	0/1
AT5G65210	AT4G27230	1/3	0/3
AT5G62430	AT4G27230	1/2	1/2
AT5G62020	AT4G27230	1/1	0/1
AT2G22200	AT4G27230	1/1	0/1
AT5G10970	AT4G27230	1/1	0/1
AT3G16870	AT4G27230	1/1	0/1
AT5G15830	AT4G27230	1/1	0/1
AT5G67420	AT4G27230	1/2	0/2
AT1G13260	AT4G27230	1/1	0/1
AT3G49940	AT4G27230	1/2	0/2
AT1G66140	AT4G27230	1/1	0/1
AT1G68670	AT4G27230	1/1	0/1
AT5G04340	AT4G27230	0/1	1/1
AT4G16141	AT4G27230	1/1	0/1
AT3G17609	AT4G27230	1/1	0/1
AT4G39780	AT4G27230	1/2	0/2
AT2G22430	AT4G27230	1/1	0/1
AT4G37790	AT4G27230	0/1	1/1
AT5G10030	AT4G27230	1/2	0/2
AT5G07680	AT4G27230	1/1	0/1
AT2G33550	AT4G27230	1/1	0/1
AT1G35560	AT4G27230	0/1	1/1
AT4G36540	AT4G27230	1/1	0/1
AT5G46590	AT4G27230	0/1	1/1
AT5G65210	AT4G27730	0/3	1/3
AT4G27950	AT4G27730	1/4	1/4
AT5G62430	AT4G27730	0/2	1/2
AT5G62020	AT4G27730	0/1	1/1
AT2G22200	AT4G27730	0/1	1/1
AT5G10970	AT4G27730	0/1	1/1
AT3G16870	AT4G27730	0/1	1/1
AT5G15830	AT4G27730	0/1	1/1
AT3G49940	AT4G27730	0/2	1/2
AT1G66140	AT4G27730	0/1	1/1
AT1G68670	AT4G27730	0/1	1/1
AT4G16141	AT4G27730	0/1	1/1
AT1G51140	AT4G27730	1/1	0/1
AT5G49450	AT4G27730	0/1	1/1
AT2G22430	AT4G27730	0/1	1/1
AT5G10030	AT4G27730	0/2	1/2
AT3G28910	AT4G27730	1/1	0/1
AT5G07680	AT4G27730	0/1	1/1
AT2G33550	AT4G27730	0/1	1/1
AT1G25550	AT4G27730	0/1	1/1
AT5G57660	AT4G27730	0/1	1/1
AT1G35560	AT4G27730	1/1	0/1
AT4G36540	AT4G27730	0/1	1/1
AT2G42280	AT4G27730	1/1	0/1
AT5G65210	AT4G28840	0/3	1/3
AT5G62020	AT4G28840	1/1	0/1
AT2G22200	AT4G28840	0/1	1/1
AT5G10970	AT4G28840	0/1	1/1
AT3G16870	AT4G28840	0/1	1/1
AT5G04760	AT4G28840	1/1	0/1
AT5G15830	AT4G28840	0/1	1/1
AT5G67420	AT4G28840	1/2	0/2
AT4G01120	AT4G28840	1/1	0/1
AT1G66140	AT4G28840	0/1	1/1
AT2G39250	AT4G28840	0/2	1/2
AT4G39780	AT4G28840	1/2	0/2
AT2G22430	AT4G28840	1/1	0/1
AT4G37790	AT4G28840	0/1	1/1
AT1G49560	AT4G28840	0/1	1/1
AT3G28910	AT4G28840	0/1	1/1
AT5G67300	AT4G28840	1/1	0/1
AT1G72830	AT4G28840	1/1	0/1
AT5G57660	AT4G28840	1/1	0/1
AT4G23750	AT4G28840	0/1	1/1
AT1G09540	AT4G28840	0/1	1/1
AT1G22640	AT4G28840	1/1	0/1
AT2G46680	AT4G28840	1/1	0/1
AT1G35560	AT4G28840	0/1	1/1
AT1G69490	AT4G28840	0/1	1/1
AT5G65210	AT4G31290	2/3	0/3
AT4G27950	AT4G31290	1/4	0/4
AT5G62430	AT4G31290	1/2	1/2
AT5G10970	AT4G31290	1/1	0/1
AT3G16870	AT4G31290	1/1	0/1
AT5G04760	AT4G31290	0/1	1/1
AT5G15830	AT4G31290	1/1	0/1
AT5G67420	AT4G31290	2/2	0/2
AT5G29000	AT4G31290	1/1	0/1
AT1G66140	AT4G31290	1/1	0/1
AT1G68670	AT4G31290	1/1	0/1
AT4G16141	AT4G31290	1/1	0/1
AT3G17609	AT4G31290	1/1	0/1
AT2G39250	AT4G31290	2/2	0/2
AT4G39780	AT4G31290	1/2	0/2
AT1G51140	AT4G31290	0/1	1/1
AT5G49450	AT4G31290	1/1	0/1
AT2G22430	AT4G31290	1/1	0/1
AT1G49560	AT4G31290	1/1	0/1
AT1G25550	AT4G31290	1/1	0/1
AT5G57660	AT4G31290	1/1	0/1
AT5G65210	AT4G32300	1/3	0/3
AT4G27950	AT4G32300	1/4	0/4
AT5G62430	AT4G32300	0/2	1/2
AT5G10970	AT4G32300	0/1	1/1
AT5G67420	AT4G32300	0/2	2/2
AT4G01120	AT4G32300	0/1	1/1
AT1G13260	AT4G32300	0/1	1/1
AT5G58900	AT4G32300	1/1	0/1
AT3G49940	AT4G32300	0/2	1/2
AT1G51140	AT4G32300	1/1	0/1
AT4G37790	AT4G32300	0/1	1/1
AT3G28910	AT4G32300	1/1	0/1
AT5G67300	AT4G32300	0/1	1/1
AT1G72830	AT4G32300	0/1	1/1
AT4G23750	AT4G32300	0/1	1/1
AT1G22640	AT4G32300	0/1	1/1
AT1G35560	AT4G32300	0/1	1/1
AT2G38470	AT4G32300	1/1	0/1
AT1G69490	AT4G32300	1/1	0/1
AT4G24020	AT4G32300	0/1	1/1
AT2G42280	AT4G32300	0/1	1/1
AT4G31800	AT4G32300	0/1	1/1
AT2G46270	AT4G32300	0/1	1/1
AT3G18990	AT4G32300	0/1	1/1
AT5G65210	AT4G33010	0/3	1/3
AT4G27950	AT4G33010	0/4	2/4
AT5G62430	AT4G33010	0/2	1/2
AT5G62020	AT4G33010	0/1	1/1
AT2G22200	AT4G33010	0/1	1/1
AT5G10970	AT4G33010	0/1	1/1
AT3G16870	AT4G33010	0/1	1/1
AT5G15830	AT4G33010	0/1	1/1
AT5G67420	AT4G33010	1/2	0/2
AT3G49940	AT4G33010	0/2	1/2
AT5G29000	AT4G33010	1/1	0/1
AT1G66140	AT4G33010	0/1	1/1
AT1G68670	AT4G33010	0/1	1/1
AT4G16141	AT4G33010	0/1	1/1
AT3G17609	AT4G33010	0/1	1/1
AT2G39250	AT4G33010	0/2	1/2
AT4G39780	AT4G33010	0/2	1/2
AT5G49450	AT4G33010	0/1	1/1
AT2G22430	AT4G33010	0/1	1/1
AT5G10030	AT4G33010	0/2	1/2
AT2G33550	AT4G33010	0/1	1/1
AT1G25550	AT4G33010	0/1	1/1
AT5G57660	AT4G33010	0/1	1/1
AT4G36540	AT4G33010	0/1	1/1
AT5G62430	AT4G34480	0/2	1/2
AT5G62020	AT4G34480	0/1	1/1
AT2G22200	AT4G34480	0/1	1/1
AT5G10970	AT4G34480	0/1	1/1
AT3G16870	AT4G34480	0/1	1/1
AT5G04760	AT4G34480	0/1	1/1
AT5G15830	AT4G34480	0/1	1/1
AT5G67420	AT4G34480	0/2	1/2
AT5G58900	AT4G34480	0/1	1/1
AT3G49940	AT4G34480	0/2	1/2
AT1G66140	AT4G34480	0/1	1/1
AT1G68670	AT4G34480	0/1	1/1
AT4G16141	AT4G34480	0/1	1/1
AT3G17609	AT4G34480	0/1	1/1
AT2G22430	AT4G34480	0/1	1/1
AT4G37790	AT4G34480	1/1	0/1
AT5G10030	AT4G34480	0/2	1/2
AT1G25550	AT4G34480	0/1	1/1
AT5G57660	AT4G34480	0/1	1/1
AT1G09540	AT4G34480	1/1	0/1
AT1G22640	AT4G34480	1/1	0/1
AT2G40750	AT4G34480	1/1	0/1
AT2G38470	AT4G34480	1/1	0/1
AT4G24020	AT4G34480	0/1	1/1
AT4G36540	AT4G34480	0/1	1/1
AT5G65210	AT4G36020	1/3	1/3
AT4G27950	AT4G36020	1/4	0/4
AT5G62430	AT4G36020	2/2	0/2
AT5G62020	AT4G36020	1/1	0/1
AT2G22200	AT4G36020	1/1	0/1
AT5G10970	AT4G36020	1/1	0/1
AT3G16870	AT4G36020	1/1	0/1
AT5G04760	AT4G36020	1/1	0/1
AT5G15830	AT4G36020	1/1	0/1
AT4G01120	AT4G36020	1/1	0/1
AT1G13260	AT4G36020	1/1	0/1
AT3G49940	AT4G36020	1/2	0/2
AT5G29000	AT4G36020	1/1	0/1
AT1G66140	AT4G36020	1/1	0/1
AT1G68670	AT4G36020	1/1	0/1
AT4G16141	AT4G36020	1/1	0/1
AT4G39780	AT4G36020	1/2	0/2
AT1G51140	AT4G36020	1/1	0/1
AT2G22430	AT4G36020	1/1	0/1
AT5G07680	AT4G36020	1/1	0/1
AT2G33550	AT4G36020	1/1	0/1
AT2G40750	AT4G36020	0/1	1/1
AT5G47230	AT4G36020	1/1	0/1
AT5G10970	AT4G36150	0/1	1/1
AT5G04760	AT4G36150	0/1	1/1
AT5G15830	AT4G36150	0/1	1/1
AT5G67420	AT4G36150	0/2	1/2
AT4G01120	AT4G36150	0/1	1/1
AT5G58900	AT4G36150	0/1	1/1
AT1G66140	AT4G36150	0/1	1/1
AT1G68670	AT4G36150	0/1	1/1
AT5G04340	AT4G36150	0/1	1/1
AT3G17609	AT4G36150	0/1	1/1
AT2G22430	AT4G36150	0/1	1/1
